,con,p
xd,-0.104661,4.89E-165
fucking,-0.096585,2.10E-145
fuck,-0.090161,2.77E-124
d:,-0.088635,9.79E-123
fuck you,-0.072938,9.90E-084
:d,-0.071737,1.89E-071
pokemon,-0.070065,8.27E-077
shit,-0.070013,3.85E-076
: 3,-0.069785,1.70E-076
o.o,-0.069741,1.20E-075
gay,-0.06683,3.94E-070
youtube,-0.064853,1.93E-065
anime,-0.064214,5.24E-065
<3,-0.063518,2.30E-052
: o,-0.061586,4.14E-058
_,-0.06041,2.16E-057
>.<,-0.059852,3.82E-055
-.-,-0.059719,4.16E-055
bored,-0.059313,8.86E-052
meh,-0.058316,7.66E-053
ftw,-0.057998,1.16E-051
fucked,-0.057651,3.95E-051
<,-0.057129,1.94E-049
^,-0.055854,1.58E-048
dx,-0.055731,2.77E-048
dead,-0.055489,1.10E-047
:/,-0.055103,6.41E-046
bitch,-0.0542,1.40E-045
emo,-0.053079,1.27E-043
x,-0.052619,6.97E-043
^ ^,-0.051912,1.61E-041
manga,-0.051141,2.08E-040
kill,-0.050851,1.77E-039
penis,-0.05084,4.52E-040
http,-0.050333,6.49E-039
so fucking,-0.05029,6.55E-039
:/ /,-0.050253,9.12E-039
youtube .,-0.050253,1.95E-038
> . >,-0.050143,1.40E-038
http :/ /,-0.049887,3.73E-038
http :/,-0.049852,4.25E-038
internet,-0.049643,4.48E-038
cat,-0.049614,7.29E-038
omfg,-0.049544,1.38E-037
wtf,-0.049356,3.17E-037
dick,-0.049163,7.84E-037
*,-0.049129,8.16E-037
xp,-0.049093,1.12E-036
d:<,-0.048821,1.71E-036
die,-0.048774,3.92E-036
o_o,-0.048765,3.30E-036
-_-,-0.048663,1.56E-035
msn,-0.048458,5.89E-036
facebook,-0.04809,1.28E-035
x3,-0.047942,3.64E-035
? v,-0.047814,1.59E-034
? v =,-0.047626,2.78E-034
. com /,-0.047301,6.02E-034
random,-0.047273,2.61E-033
com /,-0.047272,6.68E-034
watch ? v,-0.047084,2.14E-033
/ watch ?,-0.047027,2.65E-033
com / watch,-0.046594,1.21E-032
www . youtube,-0.046551,1.45E-032
/ www,-0.046548,1.06E-032
youtube . com,-0.046546,1.43E-032
:/ / www,-0.046527,1.14E-032
>:,-0.046513,9.70E-033
/ www .,-0.046474,1.37E-032
/ watch,-0.04644,2.05E-032
. youtube,-0.046439,2.13E-032
>,-0.046414,9.41E-033
watch ?,-0.046342,2.70E-032
mum,-0.04617,2.04E-032
. youtube .,-0.046151,5.73E-032
bloody,-0.046119,1.53E-032
. : 3,-0.046104,2.83E-032
i'd,-0.045695,1.17E-031
:p,-0.045569,3.23E-029
songs,-0.04542,5.88E-031
dammit,-0.045413,2.29E-031
goddamn,-0.045294,4.43E-031
stupid,-0.044448,5.63E-029
zombie,-0.044323,1.40E-029
i hate,-0.04399,7.74E-028
weird,-0.043934,1.90E-028
computer,-0.043886,3.37E-029
>:d,-0.043538,2.10E-028
dunno,-0.043458,1.91E-028
v =,-0.043149,9.72E-028
what the fuck,-0.043078,9.95E-028
annoying,-0.043052,1.36E-027
unicorn,-0.042867,1.24E-027
film,-0.042668,2.22E-027
wanna,-0.042571,1.87E-025
bieber,-0.042403,1.48E-026
justin bieber,-0.042346,1.54E-026
black,-0.042249,1.04E-026
theres,-0.042232,3.69E-026
;d,-0.042125,8.71E-026
,,
ready to get,0.042597,2.73E-027
with the family,0.042755,2.58E-027
strength,0.042766,2.37E-027
more days,0.042819,1.99E-027
a long,0.042881,1.28E-027
the semester,0.042897,9.37E-028
day to all,0.043279,8.21E-027
then off,0.043387,3.77E-028
time with my,0.043544,4.31E-028
off to work,0.043556,2.03E-028
classes,0.043709,1.72E-028
ready for a,0.043711,1.47E-028
is ready for,0.043755,5.72E-029
busy day,0.044001,5.49E-029
this semester,0.044043,2.18E-029
ready to go,0.044156,4.22E-029
had a blast,0.044168,2.88E-029
then off to,0.044311,1.55E-029
! thank you,0.044371,5.30E-029
forward to,0.044612,3.13E-029
studying for,0.044804,3.12E-030
dinner with,0.044926,3.39E-030
successful,0.044956,9.16E-031
congrats,0.045011,8.89E-031
done with,0.045297,6.37E-031
for the weekend,0.045339,4.33E-031
beautiful day,0.045403,6.53E-030
thank you,0.045469,3.65E-030
gym,0.045673,7.46E-032
everyone for,0.045678,4.12E-031
headed,0.045701,1.38E-031
blast,0.045706,1.15E-031
forward,0.045781,4.16E-031
the lord,0.046144,3.10E-032
thank,0.046464,1.02E-031
headed to,0.04651,7.20E-033
training,0.04672,2.65E-033
the birthday wishes,0.046858,5.95E-033
be a great,0.047018,1.06E-033
enjoying,0.0471,5.88E-033
birthday wishes,0.047129,2.55E-032
family and friends,0.047187,3.68E-031
! can't wait,0.047346,8.94E-034
family,0.047389,2.35E-032
work tomorrow,0.047502,3.14E-034
a great time,0.047769,2.49E-034
happy thanksgiving,0.047874,2.58E-034
can't wait to,0.047946,2.41E-034
birthday wishes !,0.047981,1.29E-034
can't wait,0.048289,1.22E-034
a great weekend,0.048394,4.01E-035
getting ready for,0.048604,8.59E-036
work,0.048648,5.17E-036
the gym,0.048734,1.23E-036
great time,0.048916,3.93E-036
to relax,0.049097,5.10E-037
so ready,0.049135,9.09E-037
a long day,0.049136,4.81E-037
this weekend,0.049371,2.96E-037
great,0.049599,1.57E-037
wait to,0.050001,1.62E-037
day off,0.050566,5.23E-039
time with,0.050728,8.13E-039
prayers,0.050936,1.76E-037
semester,0.051197,1.96E-040
great weekend,0.051421,3.97E-040
thankful for,0.051881,1.43E-039
day at work,0.052066,5.96E-042
busy,0.052279,1.61E-041
finals,0.052307,5.04E-042
the weekend,0.05233,6.11E-042
getting ready,0.052418,1.57E-041
relax,0.052774,3.93E-043
ready for the,0.052806,4.12E-043
weekend,0.053099,3.53E-043
a blast,0.053441,4.40E-044
a wonderful,0.055832,6.61E-045
success,0.056304,1.03E-049
blessings,0.056633,8.50E-048
great day !,0.056652,2.67E-049
thanksgiving,0.056796,5.08E-049
had a great,0.05694,1.34E-049
so excited,0.057509,1.40E-048
wonderful,0.058354,7.19E-049
excited,0.058675,6.22E-050
vacation,0.060126,7.75E-056
long day,0.060455,2.20E-057
workout,0.062447,7.53E-062
at work,0.062452,2.44E-060
a great day,0.062492,4.44E-060
ready to,0.062537,9.72E-061
back to work,0.062615,5.40E-059
relaxing,0.062928,7.45E-062
thankful,0.064912,8.08E-063
a great,0.065008,5.07E-065
ready,0.065595,3.28E-067
blessed,0.066334,3.94E-064
great day,0.066488,8.11E-069
to work,0.068538,6.20E-073
ready for,0.070138,3.62E-077
